TIME,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
1.3891932e+18,21.0,0.44,1.5,17.0,19.0,53.0,70.0,3.3,33.0,34.167129027138515,1.8,1.7,67.0,39.0
1.3891968e+18,20.0,0.43,1.3,15.0,16.0,42.0,74.0,2.4,37.0,35.651572264081466,2.4,2.4,42.0,25.0
1.3892004e+18,18.0,0.51,1.3,17.0,18.0,37.0,82.0,2.5,43.0,38.07681703337188,2.6,2.7,21.0,20.0
1.389204e+18,18.0,0.56,1.4,16.0,17.0,36.0,80.0,2.4,36.0,41.45730147871389,2.0,2.2,22.0,16.0
1.3892076e+18,17.0,0.61,1.3,13.0,14.0,45.0,75.0,2.5,34.0,45.27073308072833,1.9,2.1,27.0,13.0
1.3892112e+18,17.0,0.62,1.3,12.0,14.0,38.0,75.0,2.6,36.0,47.68148342977385,1.3,1.8,28.0,16.0
1.3892148e+18,17.0,0.63,1.5,13.0,15.0,33.0,74.0,2.3,39.0,48.807966573816,1.9,1.5,34.0,15.0
1.3892184e+18,16.0,0.52,1.3,9.3,11.0,36.0,73.0,1.8,39.0,48.6539784494087,1.9,1.4,27.0,11.0
1.389222e+18,16.0,0.43,1.0,7.0,8.0,40.0,70.0,1.8,29.0,48.317309148265,2.1,2.5,17.0,5.0
1.3892256e+18,15.0,0.39,1.1,5.5,6.6,41.0,69.0,1.8,32.0,48.013568648079946,1.8,2.3,16.0,8.0
1.3892292e+18,15.0,0.35,1.1,4.8,5.9,44.0,68.0,2.3,38.0,47.81208868759208,2.5,2.0,20.0,15.0
1.3892328e+18,15.0,0.34,1.3,4.6,5.9,45.0,68.0,2.7,35.0,47.883640909569415,1.6,1.7,27.0,17.0
1.3892364e+18,15.0,0.34,1.0,4.2,5.2,45.0,68.0,2.3,28.0,47.30518218197131,1.1,1.5,33.0,18.0
